ID	Directory	CreatedAt	UpdatedAt	Title	Creator	WordsCount	UniqueWordsCount	A1Words	A2Words	B1Words	B2Words	C1Words	C2Words	A1Readability	A2Readability	B1Readability	B2Readability	C1Readability	C2Readability
2906012e	anne-bront/the-tenant-of-wildfell-hall	2022-10-04	2022-10-04	The Tenant of Wildfell Hall	Anne Brontë	75075	6823	463	476	869	1398	1664	1453	56	68	81	90	96	100
3acf202e	anne-ranasinghe/the-stepmother	2022-10-04	2022-10-04	The Stepmother	Anne Ranasinghe	977	450	217	84	62	56	18	7	64	77	87	96	99	100
172b2d75	anne-rice/interview-with-the-vampire	2022-10-04	2022-10-04	Interview with the Vampire	Anne Rice	14216	1283	396	253	242	206	113	55	75	85	91	95	99	100
d603f5c0	anne-tyler/the-accidental-tourist	2022-10-04	2022-10-04	The Accidental Tourist	Anne Tyler	11415	1687	421	290	345	289	161	115	62	73	83	91	97	99
34790d8f	annette-keen/carnival	2022-10-04	2022-10-04	Carnival	Annette Keen	405	173	101	29	15	17	8	2	61	72	83	92	98	100
cb2dc839	anonymous/beowulf	2022-10-04	2022-10-04	Beowulf	Anonymous	14379	2641	399	302	445	522	510	324	40	53	70	82	92	99
9eb248b2	anonymous/the-nibelungenlied	2022-10-04	2022-10-04	The Nibelungenlied	Anonymous	46241	3517	448	372	549	688	700	541	54	67	79	87	95	99
eaa28b39	anthony-hope/the-prisoner-of-zenda	2022-10-04	2022-10-04	The Prisoner of Zenda	Anthony Hope	24453	3547	456	453	671	812	707	354	62	75	85	93	98	100
c232a835	anthony-trollope/barchester-towers	2022-10-04	2022-10-04	Barchester Towers	Anthony Trollope	13824	1830	439	339	414	347	185	81	64	76	88	95	99	100
30e00ff9	anthony-trollope/doctor-thorne	2022-10-04	2022-10-04	Doctor Thorne	Anthony Trollope	96809	6542	466	478	872	1328	1559	1328	63	75	85	92	97	100
85698108	anthony-trollope/framley-parsonage	2022-10-04	2022-10-04	Framley Parsonage	Anthony Trollope	90963	6312	467	478	893	1325	1477	1194	64	76	85	93	97	100
8633e70d	anthony-trollope/the-last-chronicle-of-barset	2022-10-04	2022-10-04	The Last Chronicle of Barset	Anthony Trollope	146884	6813	469	484	905	1429	1632	1335	66	77	86	94	98	100
ddb8403c	anthony-trollope/the-small-house-at-allington	2022-10-04	2022-10-04	The Small House at Allington	Anthony Trollope	112980	6196	468	483	865	1356	1488	1124	66	77	86	94	98	100
2be562c0	anthony-trollope/the-warden	2022-10-04	2022-10-04	The Warden	Anthony Trollope	33807	4735	465	454	785	988	1009	762	56	67	80	88	96	99
ea94d63b	anthony-trollope/the-way-we-live-now	2022-10-04	2022-10-04	The Way We Live Now	Anthony Trollope	149982	7117	469	488	916	1444	1728	1455	65	77	86	93	98	100
af1d3e81	antoine-galland/ali-baba-and-the-forty-thieves	2022-10-04	2022-10-04	Ali Baba and the Forty Thieves	Antoine Galland	623	184	104	33	21	15	6	2	60	74	83	92	96	98
51fbc4d1	antoine-galland/the-tales-from-the-arabian-nights	2022-10-04	2022-10-04	The Tales from the Arabian Nights	Antoine Galland	4382	409	252	70	40	22	11	9	73	83	88	92	98	100
3a8a9d9b	antoinette-moses/age-of-dragons	2022-10-04	2022-10-04	Age of Dragons	Antoinette Moses	10746	1786	405	273	342	322	255	122	65	76	85	94	98	99
2b591846	anton-chekhov/short-fiction	2022-10-04	2022-10-04	Short Fiction	Anton Chekhov	373741	11239	469	491	965	1772	2808	3021	58	70	81	90	96	100
81996125	anton-chekhov/the-duel	2022-10-04	2022-10-04	The Duel	Anton Chekhov	18247	3445	459	415	647	753	638	380	58	69	81	90	96	99
a41e92d3	anton-chekhov/three-sisters	2022-10-04	2022-10-04	Three Sisters	Anton Chekhov	9521	1730	428	287	334	340	198	85	66	79	87	95	98	100
e3625827	anu-kumar/the-kite-maker	2022-10-04	2022-10-04	The Kite-maker	Anu Kumar	422	248	140	48	24	23	7	6	65	79	86	93	95	100
8dc07b70	anuradha-muralidharam/nimble-fingers	2022-10-04	2022-10-04	Nimble Fingers	Anuradha Muralidharam	335	187	121	25	11	22	3	4	68	81	86	95	98	100
fd20372b	apsley-cherry-garrard/the-worst-journey-in-the-world	2022-10-04	2022-10-04	The Worst Journey in the World	Apsley Cherry-Garrard	121563	7061	467	479	864	1334	1604	1405	53	65	77	88	95	99
a21f5d3b	apuleius/the-golden-ass	2022-10-04	2022-10-04	The Golden Ass	Apuleius	40302	4401	453	410	689	869	922	718	53	65	77	88	95	99
d16b268e	aristotle/nicomachean-ethics	2022-10-04	2022-10-04	Nicomachean Ethics	Aristotle	44515	3483	423	339	582	675	684	538	55	69	80	90	96	99
329ac555	arnold-bennett/riceyman-steps	2022-10-04	2022-10-04	Riceyman Steps	Arnold Bennett	45956	5995	467	469	829	1204	1344	1106	53	65	77	87	94	99
3a78ea78	arnold-bennett/stories-from-the-five-towns	2022-10-04	2022-10-04	Stories from the Five Towns	Arnold Bennett	2460	516	265	100	64	46	17	16	73	85	92	97	98	100
f25508fa	arnold-bennett/the-grand-babylon-hotel	2022-10-04	2022-10-04	The Grand Babylon Hotel	Arnold Bennett	31962	4667	461	462	785	1026	970	671	54	67	79	89	96	99
c18ad14e	arnold-bennett/the-old-wives-tale	2022-10-04	2022-10-04	The Old Wives’ Tale	Arnold Bennett	104807	9038	469	489	940	1639	2224	2137	50	63	75	87	94	99
2622d408	arthur-clarke/dog-star	2022-10-04	2022-10-04	Dog Star	Arthur Clarke	754	447	211	73	49	53	34	18	63	75	83	91	96	99
2f65a62e	arthur-conan-doyle/a-study-in-scarlet	2022-10-04	2022-10-04	A Study in Scarlet	Arthur Conan Doyle	20352	4082	461	447	719	894	801	545	55	68	80	89	96	99
c5542df6	arthur-conan-doyle/his-last-bow	2022-10-04	2022-10-04	His Last Bow	Arthur Conan Doyle	27778	4335	465	450	757	969	892	558	56	68	81	91	96	99
449db04f	arthur-conan-doyle/sherlock-holmes-and-the-duke-s-son	2022-10-04	2022-10-04	Sherlock Holmes and the Duke's Son	Arthur Conan Doyle	2863	435	249	69	42	33	23	12	68	79	90	95	98	100
e544a0ee	arthur-conan-doyle/the-adventures-of-sherlock-holmes	2022-10-04	2022-10-04	The Adventures of Sherlock Holmes	Arthur Conan Doyle	47941	5375	468	473	845	1224	1175	846	59	71	82	91	96	99
